conf/sigmod/AbadiC02;f2Lea-RN8dsJ
conf/sigmod/AbadiCCCCEGHMRSSTXYZ03;eBnT7lhV2LwJ
conf/sigmod/AbadiCCCCEGHMRSSTXYZ03;gBVNSFeS4P8J
conf/sigmod/AbadiCCCCEGHMRSSTXYZ03;VuY9Y49GqXgJ
eBnT7lhV2LwJ;gBVNSFeS4P8J
eBnT7lhV2LwJ;VuY9Y49GqXgJ
gBVNSFeS4P8J;VuY9Y49GqXgJ
conf/sigmod/AbiteboulBCMM03;AxpQwgyRyLgJ
conf/sigmod/AbiteboulBCMM03;Rjb06zlxbLIJ
AxpQwgyRyLgJ;Rjb06zlxbLIJ
conf/sigmod/AbiteboulCM95;4GT0Krd9RP0J
conf/sigmod/AbiteboulCM95;cu9DXtjeF24J
conf/sigmod/AbiteboulCM95;DakOA4Ew-poJ
4GT0Krd9RP0J;cu9DXtjeF24J
4GT0Krd9RP0J;DakOA4Ew-poJ
cu9DXtjeF24J;DakOA4Ew-poJ
conf/sigmod/AboulnagaC99;WWaxLMIptTMJ
conf/sigmod/AboulnagaC99;xnDzelm2t1QJ
WWaxLMIptTMJ;xnDzelm2t1QJ
conf/sigmod/AcharyaAFZ95;_-yXA5HLnqoJ
conf/sigmod/AcharyaAFZ95;0lAHCM-lcjIJ
conf/sigmod/AcharyaAFZ95;2fO9nM2FoGYJ
conf/sigmod/AcharyaAFZ95;cHxtmO9talkJ
conf/sigmod/AcharyaAFZ95;clF04MGcPSUJ
conf/sigmod/AcharyaAFZ95;GOguWgH6D_UJ
conf/sigmod/AcharyaAFZ95;h2z51QPXcSkJ
conf/sigmod/AcharyaAFZ95;rO4-yA3tlfoJ
conf/sigmod/AcharyaAFZ95;y74PIIvb_GMJ
conf/sigmod/AcharyaAFZ95;ZdWKBKSoMUQJ
_-yXA5HLnqoJ;0lAHCM-lcjIJ
_-yXA5HLnqoJ;2fO9nM2FoGYJ
_-yXA5HLnqoJ;cHxtmO9talkJ
_-yXA5HLnqoJ;clF04MGcPSUJ
_-yXA5HLnqoJ;GOguWgH6D_UJ
_-yXA5HLnqoJ;h2z51QPXcSkJ
_-yXA5HLnqoJ;rO4-yA3tlfoJ
_-yXA5HLnqoJ;y74PIIvb_GMJ
_-yXA5HLnqoJ;ZdWKBKSoMUQJ
0lAHCM-lcjIJ;2fO9nM2FoGYJ
0lAHCM-lcjIJ;cHxtmO9talkJ
0lAHCM-lcjIJ;clF04MGcPSUJ
0lAHCM-lcjIJ;GOguWgH6D_UJ
0lAHCM-lcjIJ;h2z51QPXcSkJ
0lAHCM-lcjIJ;rO4-yA3tlfoJ
0lAHCM-lcjIJ;y74PIIvb_GMJ
0lAHCM-lcjIJ;ZdWKBKSoMUQJ
2fO9nM2FoGYJ;cHxtmO9talkJ
2fO9nM2FoGYJ;clF04MGcPSUJ
2fO9nM2FoGYJ;GOguWgH6D_UJ
2fO9nM2FoGYJ;h2z51QPXcSkJ
2fO9nM2FoGYJ;rO4-yA3tlfoJ
2fO9nM2FoGYJ;y74PIIvb_GMJ
2fO9nM2FoGYJ;ZdWKBKSoMUQJ
cHxtmO9talkJ;clF04MGcPSUJ
cHxtmO9talkJ;GOguWgH6D_UJ
cHxtmO9talkJ;h2z51QPXcSkJ
cHxtmO9talkJ;rO4-yA3tlfoJ
cHxtmO9talkJ;y74PIIvb_GMJ
cHxtmO9talkJ;ZdWKBKSoMUQJ
clF04MGcPSUJ;GOguWgH6D_UJ
clF04MGcPSUJ;h2z51QPXcSkJ
clF04MGcPSUJ;rO4-yA3tlfoJ
clF04MGcPSUJ;y74PIIvb_GMJ
clF04MGcPSUJ;ZdWKBKSoMUQJ
GOguWgH6D_UJ;h2z51QPXcSkJ
GOguWgH6D_UJ;rO4-yA3tlfoJ
GOguWgH6D_UJ;y74PIIvb_GMJ
GOguWgH6D_UJ;ZdWKBKSoMUQJ
h2z51QPXcSkJ;rO4-yA3tlfoJ
h2z51QPXcSkJ;y74PIIvb_GMJ
h2z51QPXcSkJ;ZdWKBKSoMUQJ
rO4-yA3tlfoJ;y74PIIvb_GMJ
rO4-yA3tlfoJ;ZdWKBKSoMUQJ
y74PIIvb_GMJ;ZdWKBKSoMUQJ
conf/sigmod/AcharyaFZ97;9OEjtHuRUzsJ
conf/sigmod/AcharyaFZ97;FDPwbRQbfIAJ
conf/sigmod/AcharyaFZ97;Hf3gZHIcm58J
conf/sigmod/AcharyaFZ97;NDzryNtTyL8J
conf/sigmod/AcharyaFZ97;QCAu6wPhnAAJ
conf/sigmod/AcharyaFZ97;qdCTR7WpuFUJ
conf/sigmod/AcharyaFZ97;umGxlKvzLoUJ
9OEjtHuRUzsJ;FDPwbRQbfIAJ
9OEjtHuRUzsJ;Hf3gZHIcm58J
9OEjtHuRUzsJ;NDzryNtTyL8J
9OEjtHuRUzsJ;QCAu6wPhnAAJ
9OEjtHuRUzsJ;qdCTR7WpuFUJ
9OEjtHuRUzsJ;umGxlKvzLoUJ
FDPwbRQbfIAJ;Hf3gZHIcm58J
FDPwbRQbfIAJ;NDzryNtTyL8J
FDPwbRQbfIAJ;QCAu6wPhnAAJ
FDPwbRQbfIAJ;qdCTR7WpuFUJ
FDPwbRQbfIAJ;umGxlKvzLoUJ
Hf3gZHIcm58J;NDzryNtTyL8J
Hf3gZHIcm58J;QCAu6wPhnAAJ
Hf3gZHIcm58J;qdCTR7WpuFUJ
Hf3gZHIcm58J;umGxlKvzLoUJ
NDzryNtTyL8J;QCAu6wPhnAAJ
NDzryNtTyL8J;qdCTR7WpuFUJ
NDzryNtTyL8J;umGxlKvzLoUJ
QCAu6wPhnAAJ;qdCTR7WpuFUJ
QCAu6wPhnAAJ;umGxlKvzLoUJ
qdCTR7WpuFUJ;umGxlKvzLoUJ
conf/sigmod/AcharyaGP00;q_bQLiJ-KZAJ
conf/sigmod/AcharyaGP00;smzeHDQ3zbMJ
conf/sigmod/AcharyaGP00;WGWZ2cNZW2YJ
q_bQLiJ-KZAJ;smzeHDQ3zbMJ
q_bQLiJ-KZAJ;WGWZ2cNZW2YJ
smzeHDQ3zbMJ;WGWZ2cNZW2YJ
conf/sigmod/AcharyaGPR99;5vntH4boqdgJ
conf/sigmod/AcharyaGPR99;a1esMNRsK_UJ
conf/sigmod/AcharyaGPR99;mOngiXbKrNkJ
conf/sigmod/AcharyaGPR99;s064OghlyIUJ
conf/sigmod/AcharyaGPR99;t8KDgCSg9RIJ
5vntH4boqdgJ;a1esMNRsK_UJ
5vntH4boqdgJ;mOngiXbKrNkJ
5vntH4boqdgJ;s064OghlyIUJ
5vntH4boqdgJ;t8KDgCSg9RIJ
a1esMNRsK_UJ;mOngiXbKrNkJ
a1esMNRsK_UJ;s064OghlyIUJ
a1esMNRsK_UJ;t8KDgCSg9RIJ
mOngiXbKrNkJ;s064OghlyIUJ
mOngiXbKrNkJ;t8KDgCSg9RIJ
s064OghlyIUJ;t8KDgCSg9RIJ
conf/sigmod/AcharyaGPR99a;ahfoveFQC2sJ
conf/sigmod/AcharyaGPR99a;C221gFS5VVoJ
conf/sigmod/AcharyaGPR99a;czJmrc_4tZ4J
conf/sigmod/AcharyaGPR99a;EpUtXEhwDaUJ
conf/sigmod/AcharyaGPR99a;IkNOhDqEY18J
conf/sigmod/AcharyaGPR99a;mYFf63cZ4lUJ
conf/sigmod/AcharyaGPR99a;VlVV2mEnoQ4J
ahfoveFQC2sJ;C221gFS5VVoJ
ahfoveFQC2sJ;czJmrc_4tZ4J
ahfoveFQC2sJ;EpUtXEhwDaUJ
ahfoveFQC2sJ;IkNOhDqEY18J
ahfoveFQC2sJ;mYFf63cZ4lUJ
ahfoveFQC2sJ;VlVV2mEnoQ4J
C221gFS5VVoJ;czJmrc_4tZ4J
C221gFS5VVoJ;EpUtXEhwDaUJ
C221gFS5VVoJ;IkNOhDqEY18J
C221gFS5VVoJ;mYFf63cZ4lUJ
C221gFS5VVoJ;VlVV2mEnoQ4J
czJmrc_4tZ4J;EpUtXEhwDaUJ
czJmrc_4tZ4J;IkNOhDqEY18J
czJmrc_4tZ4J;mYFf63cZ4lUJ
czJmrc_4tZ4J;VlVV2mEnoQ4J
EpUtXEhwDaUJ;IkNOhDqEY18J
EpUtXEhwDaUJ;mYFf63cZ4lUJ
EpUtXEhwDaUJ;VlVV2mEnoQ4J
IkNOhDqEY18J;mYFf63cZ4lUJ
IkNOhDqEY18J;VlVV2mEnoQ4J
mYFf63cZ4lUJ;VlVV2mEnoQ4J
conf/sigmod/AcharyaPR99;0dY1brFaEzgJ
conf/sigmod/AcharyaPR99;2RuI2vzDUW8J
conf/sigmod/AcharyaPR99;gKOsM57uFB4J
conf/sigmod/AcharyaPR99;KrVgTXcNPPUJ
conf/sigmod/AcharyaPR99;-k0cD5NwXnoJ
0dY1brFaEzgJ;2RuI2vzDUW8J
0dY1brFaEzgJ;gKOsM57uFB4J
0dY1brFaEzgJ;KrVgTXcNPPUJ
0dY1brFaEzgJ;-k0cD5NwXnoJ
2RuI2vzDUW8J;gKOsM57uFB4J
2RuI2vzDUW8J;KrVgTXcNPPUJ
2RuI2vzDUW8J;-k0cD5NwXnoJ
gKOsM57uFB4J;KrVgTXcNPPUJ
gKOsM57uFB4J;-k0cD5NwXnoJ
KrVgTXcNPPUJ;-k0cD5NwXnoJ
conf/sigmod/AchyutuniON96;eRSkDzxP1JcJ
conf/sigmod/AdaliBSS98;69JsZwNpla0J
conf/sigmod/AdaliBSS98;rYC-j_j4Yv0J
conf/sigmod/AdaliBSS98;YQ90BYSVqbsJ
69JsZwNpla0J;rYC-j_j4Yv0J
69JsZwNpla0J;YQ90BYSVqbsJ
rYC-j_j4Yv0J;YQ90BYSVqbsJ
conf/sigmod/AdaliCPS96;_CkpzhLiR30J
conf/sigmod/AdaliCPS96;BpZjLfob1eIJ
conf/sigmod/AdaliCPS96;I8qFyTX4FhoJ
conf/sigmod/AdaliCPS96;npAaKsmFlpcJ
conf/sigmod/AdaliCPS96;pw234_REfHUJ
conf/sigmod/AdaliCPS96;Ra8-qY_qjZoJ
conf/sigmod/AdaliCPS96;rmtEGXAXHKIJ
conf/sigmod/AdaliCPS96;uMmcsye0YCkJ
conf/sigmod/AdaliCPS96;zE4iM0h4W2sJ
_CkpzhLiR30J;BpZjLfob1eIJ
_CkpzhLiR30J;I8qFyTX4FhoJ
_CkpzhLiR30J;npAaKsmFlpcJ
_CkpzhLiR30J;pw234_REfHUJ
_CkpzhLiR30J;Ra8-qY_qjZoJ
_CkpzhLiR30J;rmtEGXAXHKIJ
_CkpzhLiR30J;uMmcsye0YCkJ
_CkpzhLiR30J;zE4iM0h4W2sJ
BpZjLfob1eIJ;I8qFyTX4FhoJ
BpZjLfob1eIJ;npAaKsmFlpcJ
BpZjLfob1eIJ;pw234_REfHUJ
BpZjLfob1eIJ;Ra8-qY_qjZoJ
BpZjLfob1eIJ;rmtEGXAXHKIJ
BpZjLfob1eIJ;uMmcsye0YCkJ
BpZjLfob1eIJ;zE4iM0h4W2sJ
I8qFyTX4FhoJ;npAaKsmFlpcJ
I8qFyTX4FhoJ;pw234_REfHUJ
I8qFyTX4FhoJ;Ra8-qY_qjZoJ
I8qFyTX4FhoJ;rmtEGXAXHKIJ
I8qFyTX4FhoJ;uMmcsye0YCkJ
I8qFyTX4FhoJ;zE4iM0h4W2sJ
npAaKsmFlpcJ;pw234_REfHUJ
npAaKsmFlpcJ;Ra8-qY_qjZoJ
npAaKsmFlpcJ;rmtEGXAXHKIJ
npAaKsmFlpcJ;uMmcsye0YCkJ
npAaKsmFlpcJ;zE4iM0h4W2sJ
pw234_REfHUJ;Ra8-qY_qjZoJ
pw234_REfHUJ;rmtEGXAXHKIJ
pw234_REfHUJ;uMmcsye0YCkJ
pw234_REfHUJ;zE4iM0h4W2sJ
Ra8-qY_qjZoJ;rmtEGXAXHKIJ
Ra8-qY_qjZoJ;uMmcsye0YCkJ
Ra8-qY_qjZoJ;zE4iM0h4W2sJ
rmtEGXAXHKIJ;uMmcsye0YCkJ
rmtEGXAXHKIJ;zE4iM0h4W2sJ
uMmcsye0YCkJ;zE4iM0h4W2sJ
conf/sigmod/AdaliSS99;7OvO0Y3IU8gJ
conf/sigmod/AdaliSS99;bhWLVCoDuNQJ
conf/sigmod/AdaliSS99;c2dH5RxNj6kJ
conf/sigmod/AdaliSS99;Cbwq3JSxrSAJ
7OvO0Y3IU8gJ;bhWLVCoDuNQJ
7OvO0Y3IU8gJ;c2dH5RxNj6kJ
7OvO0Y3IU8gJ;Cbwq3JSxrSAJ
bhWLVCoDuNQJ;c2dH5RxNj6kJ
bhWLVCoDuNQJ;Cbwq3JSxrSAJ
c2dH5RxNj6kJ;Cbwq3JSxrSAJ
conf/sigmod/AdamY98;url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D276350%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222
conf/sigmod/Adelberg98;3hsPMPTl2msJ
conf/sigmod/Adelberg98;5I0ArBmDRcEJ
conf/sigmod/Adelberg98;ahVfYoqGq6gJ
conf/sigmod/Adelberg98;JrU1gnfH1sYJ
conf/sigmod/Adelberg98;lyTJMJmpo8IJ
conf/sigmod/Adelberg98;UT0h0HcwLyUJ
